id,id2,geography,totalPopulation,ageUnder5,age5To9,age10To14,age15To19,ageUnder19,ageRatioUnder19,unitsTotal,unitsSingleDetached,unitsSingleAttached,unitsTwo,unitsThreeOrFour,unitsFiveToNine,unitsTenToNineteen,unitsTwentyToFortynine,unitsFiftyOrMore,unitsMobileHome,unitsBoatRvVan,healthInsuranceCoverage
1400000US48453000101,48453000101,"Census Tract 1.01, Travis County, Texas",3611,238,160,137,90,625,0.17308,1989,1163,62,170,47,0,29,10,497,11,0,7.4
1400000US48453000102,48453000102,"Census Tract 1.02, Travis County, Texas",2552,119,174,182,122,597,0.23393,1189,1038,60,28,12,13,12,26,0,0,0,13.5
1400000US48453000203,48453000203,"Census Tract 2.03, Travis County, Texas",1546,20,9,8,85,122,0.07891,815,25,0,5,0,13,79,84,599,0,10,7.9
1400000US48453000204,48453000204,"Census Tract 2.04, Travis County, Texas",3009,139,115,84,106,444,0.14756,1688,820,122,107,7,31,184,239,178,0,0,6.8
1400000US48453000205,48453000205,"Census Tract 2.05, Travis County, Texas",3394,126,93,67,117,403,0.11874,2082,862,126,68,14,215,436,223,138,0,0,12.9
1400000US48453000206,48453000206,"Census Tract 2.06, Travis County, Texas",2687,155,135,102,69,461,0.17157,1752,855,21,64,0,54,132,210,416,0,0,4.8
1400000US48453000302,48453000302,"Census Tract 3.02, Travis County, Texas",4939,159,156,82,158,555,0.11237,3077,1117,95,260,124,179,473,652,162,15,0,8.8
1400000US48453000304,48453000304,"Census Tract 3.04, Travis County, Texas",3045,122,85,46,115,368,0.12085,1567,698,61,53,62,7,86,270,330,0,0,13.1
1400000US48453000305,48453000305,"Census Tract 3.05, Travis County, Texas",3223,103,64,56,79,302,0.09370,1919,875,127,196,97,151,304,162,7,0,0,8.7
1400000US48453000306,48453000306,"Census Tract 3.06, Travis County, Texas",2697,295,163,92,82,632,0.23433,1346,567,83,29,34,54,30,112,437,0,0,9
1400000US48453000307,48453000307,"Census Tract 3.07, Travis County, Texas",1707,111,70,64,49,294,0.17223,882,486,76,168,0,16,58,0,78,0,0,12.4
1400000US48453000401,48453000401,"Census Tract 4.01, Travis County, Texas",3574,112,69,44,244,469,0.13123,1778,838,125,72,14,99,86,329,206,9,0,13.2
1400000US48453000402,48453000402,"Census Tract 4.02, Travis County, Texas",2606,109,63,72,68,312,0.11972,1455,749,54,145,35,8,117,239,108,0,0,5.7
1400000US48453000500,48453000500,"Census Tract 5, Travis County, Texas",4518,96,83,49,144,372,0.08234,2576,805,116,142,197,230,565,468,50,3,0,12.9
1400000US48453000601,48453000601,"Census Tract 6.01, Travis County, Texas",9207,9,4,7,6188,6208,0.67427,501,18,24,4,13,23,62,61,296,0,0,44.1
1400000US48453000603,48453000603,"Census Tract 6.03, Travis County, Texas",7793,25,12,7,1055,1099,0.14102,2942,231,39,97,17,65,461,623,1409,0,0,21.9
1400000US48453000604,48453000604,"Census Tract 6.04, Travis County, Texas",6496,31,9,3,1740,1783,0.27448,2008,144,58,46,122,154,301,374,809,0,0,30.1
1400000US48453000700,48453000700,"Census Tract 7, Travis County, Texas",1339,22,22,18,45,107,0.07991,898,110,14,48,19,28,145,183,351,0,0,16.8
1400000US48453000801,48453000801,"Census Tract 8.01, Travis County, Texas",1498,91,75,73,85,324,0.21629,625,474,14,0,0,0,0,40,82,15,0,6.4
1400000US48453000802,48453000802,"Census Tract 8.02, Travis County, Texas",3067,348,289,237,200,1074,0.35018,1343,656,27,156,115,210,72,42,49,16,0,8.4
1400000US48453000803,48453000803,"Census Tract 8.03, Travis County, Texas",2429,120,98,81,96,395,0.16262,1111,944,39,59,8,16,21,24,0,0,0,12.4
